Location,Cu,Zn,Mn,Fe,Cd,Pb,Ni,Latitude,Longitude,Spatial_Factor,Season,TDS,EC,pH,HPI,HEI,MI,Safety_Category,Predicted_HPI,Remediation_Verdict
Location_39,0.0359,1.7206,0.1762,0.2896,0.0011,0.001,0.001,9.180421,78.399276,0.3689704089019491,Pre-Monsoon,1391.6,2174.5,7.57,31.26634788430637,3.62402,3.62402,Moderate,31.26634788430637,Activated Carbon + Sand Filter
Location_40,0.0382,0.1808,0.2216,0.3568,0.0015,0.001,0.001,9.179791,78.512998,0.7829377272397662,Pre-Monsoon,1721.3,2735.9,6.98,41.243279950008926,4.129693333333333,4.129693333333333,Moderate,41.243279950008926,Activated Carbon + Sand Filter
Location_41,0.0036,1.2856,0.123,0.2541,0.0011,0.001,0.001,9.294287,78.567038,0.2447824123894252,Pre-Monsoon,1221.3,1950.7,7.14,30.108579182288874,2.854386666666666,2.854386666666666,Moderate,30.108579182288874,Activated Carbon + Sand Filter
Location_42,0.0243,0.6831,0.1702,0.3612,0.0013,0.001,0.001,9.119402,78.499172,0.3234855566950478,Pre-Monsoon,1583.9,2456.1,7.35,35.75844974111766,3.6502533333333327,3.6502533333333327,Moderate,35.75844974111766,Activated Carbon + Sand Filter
Location_43,0.0216,1.628,0.1077,0.1241,0.0008,0.001,0.001,9.372176,78.529622,0.0483110692892983,Pre-Monsoon,859.6,1268.1,7.16,22.82227459382253,2.2545333333333333,2.2545333333333333,Safe,22.82227459382253,Potable - No Treatment
Location_44,0.016,0.5861,0.1301,0.1843,0.0008,0.001,0.001,9.343021,78.41692,0.0681742331078477,Pre-Monsoon,888.4,1258.6,7.96,23.397049544724155,2.4652199999999995,2.4652199999999995,Safe,23.397049544724155,Potable - No Treatment
Location_1,0.0489,0.5379,0.1447,0.2484,0.0029,0.001,0.001,9.15744,78.562233,0.3313295125594985,Post-Monsoon,1402.8,2003.4,7.56,70.70620746295303,3.5481466666666663,3.5481466666666663,Highly Polluted,70.70620746295303,Lime Softening + RO Desalination
Location_2,0.044,0.2627,0.0963,0.278,0.0012,0.001,0.001,9.361543,78.450458,0.0606330956855922,Post-Monsoon,541.1,776.6,7.88,31.857270398143186,2.5362066666666667,2.5362066666666667,Moderate,31.857270398143186,Activated Carbon + Sand Filter
Location_3,0.0091,1.985,0.1554,0.3421,0.0024,0.001,0.001,9.210655,78.394149,0.3754530145202854,Post-Monsoon,1110.7,1665.7,7.57,59.9751495268702,4.050433333333333,4.050433333333333,Moderate,59.9751495268702,Activated Carbon + Sand Filter
Location_4,0.0072,1.5823,0.0993,0.2795,0.0019,0.001,0.001,9.116343,78.41908,0.1781399736635835,Post-Monsoon,1140.7,1692.6,7.19,47.54629592929834,3.03166,3.03166,Moderate,47.54629592929834,Activated Carbon + Sand Filter
Location_5,0.0243,1.8219,0.0879,0.2711,0.0017,0.001,0.001,9.296103,78.608765,0.1044846914595434,Post-Monsoon,806.1,1276.0,7.36,42.84044331369397,2.888013333333333,2.888013333333333,Moderate,42.84044331369397,Activated Carbon + Sand Filter
Location_6,0.025,1.4,0.3,0.58,0.0038,0.001,0.001,9.212,78.478,0.9999999992849294,Post-Monsoon,1954.0,2877.2,7.31,94.653387787895,6.654999999999999,6.654999999999999,Highly Polluted,94.653387787895,Lime Softening + RO Desalination
Location_7,0.0558,0.5424,0.0778,0.1162,0.0009,0.001,0.001,9.387569,78.560523,0.0106531526595883,Post-Monsoon,406.0,615.5,7.29,24.433973040528475,1.7796133333333335,1.7796133333333335,Safe,24.433973040528475,Potable - No Treatment
Location_8,0.0157,0.194,0.0974,0.2022,0.0016,0.001,0.001,9.327677,78.375542,0.031695499185604,Post-Monsoon,615.5,939.5,7.68,40.6309395643635,2.3858333333333333,2.3858333333333333,Moderate,40.6309395643635,Activated Carbon + Sand Filter
Location_9,0.0314,0.9529,0.1045,0.2028,0.0012,0.001,0.001,9.081573,78.390392,0.0152618037410401,Post-Monsoon,428.9,601.6,7.5,31.85716041778253,2.49298,2.49298,Moderate,31.85716041778253,Activated Carbon + Sand Filter
Location_10,0.0244,1.502,0.1216,0.2299,0.0015,0.001,0.001,9.177661,78.328315,0.0192024156520593,Post-Monsoon,809.6,1240.9,7.42,38.95934475986431,2.957133333333333,2.957133333333333,Moderate,38.95934475986431,Activated Carbon + Sand Filter
Location_11,0.0529,1.0401,0.0685,0.2084,0.0012,0.001,0.001,9.360021,78.51431,0.0842012439926137,Post-Monsoon,773.1,1109.9,7.74,31.151592037136226,2.1905866666666665,2.1905866666666665,Moderate,31.151592037136226,Activated Carbon + Sand Filter
Location_12,0.0425,1.1382,0.1316,0.1273,0.0014,0.001,0.001,9.391746,78.46287,0.0109837559123936,Post-Monsoon,688.1,1095.6,7.64,36.70019309051955,2.62714,2.62714,Moderate,36.70019309051955,Activated Carbon + Sand Filter
Location_13,0.0423,2.5997,0.276,0.4388,0.0039,0.001,0.001,9.248513,78.448548,0.7413524871087978,Post-Monsoon,1604.3,2293.7,7.09,96.1010665952508,6.234906666666666,6.234906666666666,Highly Polluted,96.1010665952508,Lime Softening + RO Desalination
Location_14,0.0271,0.9481,0.1416,0.3101,0.002,0.001,0.001,9.240681,78.575015,0.3739709296313281,Post-Monsoon,990.7,1469.1,7.74,50.69485841813962,3.4830533333333333,3.4830533333333333,Moderate,50.69485841813962,Activated Carbon + Sand Filter
Location_15,0.0254,1.3136,0.2977,0.48,0.0035,0.001,0.001,9.237901,78.531518,0.7140364787076293,Post-Monsoon,1742.2,2468.8,6.95,87.68816943402965,6.1817866666666665,6.1817866666666665,Highly Polluted,87.68816943402965,Lime Softening + RO Desalination
Location_16,0.025,1.4,0.03,0.06,0.001,0.001,0.001,9.26,78.54,0.5493926013272882,Post-Monsoon,534.5,854.9,7.75,25.58090073201214,1.288333333333333,1.288333333333333,Safe,25.58090073201214,Potable - No Treatment
Location_17,0.01,1.0492,0.0956,0.2362,0.0014,0.001,0.001,9.18449,78.60388,0.1843062354342935,Post-Monsoon,861.0,1291.9,7.68,36.21290198178896,2.57984,2.57984,Moderate,36.21290198178896,Activated Carbon + Sand Filter
Location_18,0.0439,1.5871,0.1756,0.4553,0.0039,0.001,0.001,9.129368,78.481183,0.4188728204575504,Post-Monsoon,1779.1,2702.6,7.11,94.11347205856096,5.084986666666666,5.084986666666666,Highly Polluted,94.11347205856096,Lime Softening + RO Desalination
Location_19,0.0409,2.3959,0.1355,0.2092,0.0012,0.001,0.001,9.072891,78.565311,0.024791839517353,Post-Monsoon,531.1,750.7,7.63,32.50760185681128,3.1224133333333333,3.1224133333333333,Moderate,32.50760185681128,Activated Carbon + Sand Filter
Location_20,0.0602,2.8815,0.1692,0.2256,0.0026,0.001,0.001,9.194459,78.602003,0.2070148406898473,Post-Monsoon,1349.2,2091.2,7.05,64.47328914479557,4.097166666666666,4.097166666666666,Highly Polluted,64.47328914479557,Lime Softening + RO Desalination
Location_21,0.0583,0.5623,0.1723,0.2882,0.0026,0.001,0.001,9.149201,78.433101,0.4475424641929593,Post-Monsoon,1133.0,1633.8,7.6,64.65624727727192,3.8710933333333335,3.8710933333333335,Highly Polluted,64.65624727727192,Lime Softening + RO Desalination
Location_22,0.03,2.7279,0.0994,0.17,0.002,0.001,0.001,9.306848,78.599941,0.1064736442027526,Post-Monsoon,888.1,1402.9,7.41,49.54945643635065,2.952913333333333,2.952913333333333,Moderate,49.54945643635065,Activated Carbon + Sand Filter
Location_23,0.0387,1.2622,0.1987,0.3341,0.0034,0.001,0.001,9.204315,78.562521,0.4856700343221355,Post-Monsoon,1500.3,2162.0,7.12,83.14458784145685,4.67514,4.67514,Highly Polluted,83.14458784145685,Lime Softening + RO Desalination
Location_24,0.025,1.4,0.29,0.56,0.0038,0.001,0.001,9.208,78.481,0.9994908974862128,Post-Monsoon,1897.2,2728.4,7.45,94.40789591144438,6.488333333333332,6.488333333333332,Highly Polluted,94.40789591144438,Lime Softening + RO Desalination
Location_25,0.043,1.1866,0.2807,0.4305,0.0039,0.001,0.001,9.174713,78.509662,0.7660457955145077,Post-Monsoon,1878.8,2644.1,7.0,96.1657332619175,5.97232,5.97232,Highly Polluted,96.1657332619175,Lime Softening + RO Desalination
Location_26,0.0199,3.1581,0.0908,0.1544,0.0013,0.001,0.001,9.2612,78.318044,0.0,Post-Monsoon,600.2,896.9,7.2,33.72112158543117,2.65752,2.65752,Moderate,33.72112158543117,Activated Carbon + Sand Filter
Location_27,0.0265,1.2633,0.107,0.1491,0.0013,0.001,0.001,9.271188,78.649344,0.0403386168938576,Post-Monsoon,728.2,1101.7,7.15,34.02078396714872,2.4294933333333333,2.4294933333333333,Moderate,34.02078396714872,Activated Carbon + Sand Filter
Location_28,0.0146,0.9083,0.242,0.462,0.004,0.001,0.001,9.142081,78.48869,0.5352699978427079,Post-Monsoon,1818.7,2570.1,7.32,97.6825207105874,5.639593333333332,5.639593333333332,Highly Polluted,97.6825207105874,Lime Softening + RO Desalination
Location_29,0.025,1.4,0.18,0.35,0.0016,0.001,0.001,9.218,78.465,0.9628965853607448,Post-Monsoon,677.8,1054.1,7.17,42.631427423674346,3.955,3.955,Moderate,42.631427423674346,Activated Carbon + Sand Filter
Location_30,0.0318,0.7344,0.0874,0.2006,0.0025,0.001,0.001,9.377671,78.543705,0.0319718615835791,Post-Monsoon,1105.6,1648.1,7.83,60.51978628816282,2.70468,2.70468,Highly Polluted,60.51978628816282,Lime Softening + RO Desalination
Location_31,0.0191,0.4109,0.1367,0.2029,0.0012,0.001,0.001,9.103921,78.399453,0.0772552825493601,Post-Monsoon,358.8,540.0,7.04,32.49731797893233,2.694613333333333,2.694613333333333,Moderate,32.49731797893233,Activated Carbon + Sand Filter
Location_32,0.0344,0.528,0.1539,0.3108,0.0019,0.001,0.001,9.295596,78.633619,0.0505070439213769,Post-Monsoon,1133.0,1686.1,7.88,48.70982146045348,3.498333333333333,3.498333333333333,Moderate,48.70982146045348,Activated Carbon + Sand Filter
Location_33,0.025,1.4,0.32,0.62,0.004,0.001,0.001,9.205,78.47,0.977800042301432,Post-Monsoon,1549.6,2293.6,7.21,99.60786020353508,7.055,7.055,Highly Polluted,99.60786020353508,Lime Softening + RO Desalination
Location_34,0.0237,0.5711,0.2569,0.437,0.0033,0.001,0.001,9.268476,78.480229,0.6914303869561099,Post-Monsoon,1445.6,2185.6,7.23,82.30291233708266,5.413586666666665,5.413586666666665,Highly Polluted,82.30291233708266,Lime Softening + RO Desalination
Location_35,0.0138,0.547,0.1111,0.3672,0.0015,0.001,0.001,9.327267,78.472447,0.2176038880598544,Post-Monsoon,756.6,1082.7,7.38,39.04506159614354,3.1082,3.1082,Moderate,39.04506159614354,Activated Carbon + Sand Filter
Location_36,0.0344,1.6384,0.2505,0.5137,0.004,0.001,0.001,9.243981,78.437663,0.6918071754421721,Post-Monsoon,1743.9,2504.9,7.26,97.97847312979825,6.062746666666666,6.062746666666666,Highly Polluted,97.97847312979825,Lime Softening + RO Desalination
Location_37,0.0288,0.6256,0.1078,0.2443,0.0015,0.001,0.001,9.165736,78.656626,0.0196006380238583,Post-Monsoon,757.9,1191.7,7.5,38.70814176039992,2.6962533333333334,2.6962533333333334,Moderate,38.70814176039992,Activated Carbon + Sand Filter
Location_38,0.0388,0.9428,0.0968,0.18,0.0022,0.001,0.001,9.338178,78.579476,0.078816509959671,Post-Monsoon,1129.4,1794.9,7.7,53.9704652740582,2.6786933333333334,2.6786933333333334,Moderate,53.9704652740582,Activated Carbon + Sand Filter
Location_39,0.0288,2.5609,0.1638,0.2747,0.0021,0.001,0.001,9.180421,78.399276,0.3689704089019491,Post-Monsoon,723.8,1067.4,7.45,53.30680066059632,3.944646666666667,3.944646666666667,Moderate,53.30680066059632,Activated Carbon + Sand Filter
Location_40,0.0431,1.2203,0.2653,0.51,0.0044,0.001,0.001,9.179791,78.512998,0.7829377272397662,Post-Monsoon,1922.0,2794.9,7.14,107.19284966970184,6.256826666666666,6.256826666666666,Highly Polluted,107.19284966970184,Lime Softening + RO Desalination
Location_41,0.0299,1.7137,0.0985,0.3608,0.0018,0.001,0.001,9.294287,78.567038,0.2447824123894252,Post-Monsoon,675.6,1032.9,7.38,45.48553901089091,3.3103066666666665,3.3103066666666665,Moderate,45.48553901089091,Activated Carbon + Sand Filter
Location_42,0.0302,0.6081,0.1586,0.3169,0.002,0.001,0.001,9.119402,78.499172,0.3234855566950478,Post-Monsoon,1061.1,1572.3,7.42,51.0493821638993,3.61082,3.61082,Moderate,51.0493821638993,Activated Carbon + Sand Filter
Location_43,0.0447,0.6447,0.0867,0.2133,0.0011,0.001,0.001,9.372176,78.529622,0.0483110692892983,Post-Monsoon,677.7,952.2,7.65,29.29151919300125,2.2683066666666667,2.2683066666666667,Safe,29.29151919300125,Potable - No Treatment
Location_44,0.0251,0.3082,0.1024,0.1797,0.0021,0.001,0.001,9.343021,78.41692,0.0681742331078477,Post-Monsoon,684.3,979.4,7.01,51.84268103910016,2.55974,2.55974,Moderate,51.84268103910016,Activated Carbon + Sand Filter
